State,DISTRICT,BUFFALO,PIG,POULTRY - Backyard,POULTRY - Commercial,CATTLE,MITHUN,GOAT
Mizoram,Saitual,271,23242,9225,NA,2632,350,203
Mizoram,Khawzawl,87,15172,65985,NA,1470,55,445
Mizoram,Hnahthial,25,4985,50984,NA,367,NA,235
Mizoram,Mamit,11,25910,122313,NA,2813,NA,1309
Mizoram,Kolasib,530,35390,169502,NA,6663,29,1603
Mizoram,Aizawl,2,68218,598905,14949,9549,NA,503
Mizoram,Champhai,493,23598,176103,NA,5708,2225,295
Mizoram,Serchhip,167,16794,153970,1338,2838,222,502
Mizoram,Lunglei,0,30839,230737,NA,5296,NA,NA
Mizoram,Lawngtlai,126,21222,207120,NA,5785,4,2608
Mizoram,Siaha,397,17651,57146,NA,2580,1072,1738
Mizoram,TOTAL,2109,283021,1841990,NA,45701,3957,9441
